Button Text,Link Text,Link Href
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,index.php?action=show_candidates&constituency_id=579
ARUNACHAL PRADESH,ARUNACHAL EAST,index.php?action=show_candidates&constituency_id=29
ARUNACHAL PRADESH,ARUNACHAL WEST,index.php?action=show_candidates&constituency_id=28
ASSAM,DIBRUGARH,index.php?action=show_candidates&constituency_id=33
ASSAM,JORHAT,index.php?action=show_candidates&constituency_id=34
ASSAM,KAZIRANGA,index.php?action=show_candidates&constituency_id=30
ASSAM,LAKHIMPUR,index.php?action=show_candidates&constituency_id=32
ASSAM,SONITPUR,index.php?action=show_candidates&constituency_id=31
BIHAR,AURANGABAD,index.php?action=show_candidates&constituency_id=45
BIHAR,GAYA (SC),index.php?action=show_candidates&constituency_id=46
BIHAR,JAMUI (SC),index.php?action=show_candidates&constituency_id=48
BIHAR,NAWADA,index.php?action=show_candidates&constituency_id=47
CHHATTISGARH,BASTAR (ST),index.php?action=show_candidates&constituency_id=89
JAMMU AND KASHMIR,UDHAMPUR,index.php?action=show_candidates&constituency_id=155
LAKSHADWEEP,LAKSHADWEEP,index.php?action=show_candidates&constituency_id=227
MADHYA PRADESH,BALAGHAT,index.php?action=show_candidates&constituency_id=232
MADHYA PRADESH,CHHINDWARA,index.php?action=show_candidates&constituency_id=233
MADHYA PRADESH,JABALPUR,index.php?action=show_candidates&constituency_id=230
MADHYA PRADESH,MANDLA (ST),index.php?action=show_candidates&constituency_id=231
MADHYA PRADESH,SHAHDOL (ST),index.php?action=show_candidates&constituency_id=229
MADHYA PRADESH,SIDHI,index.php?action=show_candidates&constituency_id=228
MAHARASHTRA,BHANDARA GONDIYA,index.php?action=show_candidates&constituency_id=261
MAHARASHTRA,CHANDRAPUR,index.php?action=show_candidates&constituency_id=263
MAHARASHTRA,GADCHIROLI - CHIMUR (ST),index.php?action=show_candidates&constituency_id=262
MAHARASHTRA,NAGPUR,index.php?action=show_candidates&constituency_id=260
MAHARASHTRA,RAMTEK (SC),index.php?action=show_candidates&constituency_id=259
MANIPUR,INNER MANIPUR,index.php?action=show_candidates&constituency_id=310
MANIPUR,OUTER MANIPUR (ST),index.php?action=show_candidates&constituency_id=311
MEGHALAYA,SHILLONG (ST),index.php?action=show_candidates&constituency_id=312
MEGHALAYA,TURA (ST),index.php?action=show_candidates&constituency_id=313
MIZORAM,MIZORAM (ST),index.php?action=show_candidates&constituency_id=314
NAGALAND,NAGALAND,index.php?action=show_candidates&constituency_id=315
PUDUCHERRY,PUDUCHERRY,index.php?action=show_candidates&constituency_id=338
RAJASTHAN,ALWAR,index.php?action=show_candidates&constituency_id=360
RAJASTHAN,BHARATPUR (SC),index.php?action=show_candidates&constituency_id=361
RAJASTHAN,BIKANER (SC),index.php?action=show_candidates&constituency_id=354
RAJASTHAN,CHURU,index.php?action=show_candidates&constituency_id=355
RAJASTHAN,DAUSA (ST),index.php?action=show_candidates&constituency_id=363
RAJASTHAN,GANGANAGAR (SC),index.php?action=show_candidates&constituency_id=353
RAJASTHAN,JAIPUR,index.php?action=show_candidates&constituency_id=359
RAJASTHAN,JAIPUR RURAL,index.php?action=show_candidates&constituency_id=358
RAJASTHAN,JHUNJHUNU,index.php?action=show_candidates&constituency_id=356
RAJASTHAN,KARAULI-DHOLPUR (SC),index.php?action=show_candidates&constituency_id=362
RAJASTHAN,NAGAUR,index.php?action=show_candidates&constituency_id=364
RAJASTHAN,SIKAR,index.php?action=show_candidates&constituency_id=357
SIKKIM,SIKKIM,index.php?action=show_candidates&constituency_id=380
TAMIL NADU,ARAKKONAM,index.php?action=show_candidates&constituency_id=387
TAMIL NADU,ARANI,index.php?action=show_candidates&constituency_id=392
TAMIL NADU,CHENNAI CENTRAL,index.php?action=show_candidates&constituency_id=384
TAMIL NADU,CHENNAI NORTH,index.php?action=show_candidates&constituency_id=382
TAMIL NADU,CHENNAI SOUTH,index.php?action=show_candidates&constituency_id=383
TAMIL NADU,CHIDAMBARAM (SC),index.php?action=show_candidates&constituency_id=408
TAMIL NADU,COIMBATORE,index.php?action=show_candidates&constituency_id=401
TAMIL NADU,CUDDALORE,index.php?action=show_candidates&constituency_id=407
TAMIL NADU,DHARMAPURI,index.php?action=show_candidates&constituency_id=390
TAMIL NADU,DINDIGUL,index.php?action=show_candidates&constituency_id=403
TAMIL NADU,ERODE,index.php?action=show_candidates&constituency_id=398
TAMIL NADU,KALLAKURICHI,index.php?action=show_candidates&constituency_id=394
TAMIL NADU,KANCHEEPURAM (SC),index.php?action=show_candidates&constituency_id=386
TAMIL NADU,KANNIYAKUMARI,index.php?action=show_candidates&constituency_id=421
TAMIL NADU,KARUR,index.php?action=show_candidates&constituency_id=404
TAMIL NADU,KRISHNAGIRI,index.php?action=show_candidates&constituency_id=389
TAMIL NADU,MADURAI,index.php?action=show_candidates&constituency_id=414
TAMIL NADU,MAYILADUTHURAI,index.php?action=show_candidates&constituency_id=409
TAMIL NADU,NAGAPATTINAM (SC),index.php?action=show_candidates&constituency_id=411
TAMIL NADU,NAMAKKAL,index.php?action=show_candidates&constituency_id=397
TAMIL NADU,NILGIRIS (SC),index.php?action=show_candidates&constituency_id=400
TAMIL NADU,PERAMBALUR,index.php?action=show_candidates&constituency_id=406
TAMIL NADU,POLLACHI,index.php?action=show_candidates&constituency_id=402
TAMIL NADU,RAMANATHAPURAM,index.php?action=show_candidates&constituency_id=417
TAMIL NADU,SALEM,index.php?action=show_candidates&constituency_id=396
TAMIL NADU,SIVAGANGA,index.php?action=show_candidates&constituency_id=413
TAMIL NADU,SRIPERUMBUDUR,index.php?action=show_candidates&constituency_id=385
TAMIL NADU,TENKASI (SC),index.php?action=show_candidates&constituency_id=419
TAMIL NADU,THANJAVUR,index.php?action=show_candidates&constituency_id=412
TAMIL NADU,THENI,index.php?action=show_candidates&constituency_id=415
TAMIL NADU,THOOTHUKKUDI,index.php?action=show_candidates&constituency_id=418
TAMIL NADU,TIRUCHIRAPPALLI,index.php?action=show_candidates&constituency_id=405
TAMIL NADU,TIRUNELVELI,index.php?action=show_candidates&constituency_id=420
TAMIL NADU,TIRUPPUR,index.php?action=show_candidates&constituency_id=399
TAMIL NADU,TIRUVALLUR (SC),index.php?action=show_candidates&constituency_id=381
TAMIL NADU,TIRUVANNAMALAI,index.php?action=show_candidates&constituency_id=391
TAMIL NADU,VELLORE,index.php?action=show_candidates&constituency_id=388
TAMIL NADU,VILUPPURAM (SC),index.php?action=show_candidates&constituency_id=393
TAMIL NADU,VIRUDHUNAGAR,index.php?action=show_candidates&constituency_id=416
TRIPURA,TRIPURA WEST,index.php?action=show_candidates&constituency_id=441
UTTAR PRADESH,BIJNOR,index.php?action=show_candidates&constituency_id=451
UTTAR PRADESH,KAIRANA,index.php?action=show_candidates&constituency_id=449
UTTAR PRADESH,MORADABAD,index.php?action=show_candidates&constituency_id=453
UTTAR PRADESH,MUZAFFARNAGAR,index.php?action=show_candidates&constituency_id=450
UTTAR PRADESH,NAGINA (SC),index.php?action=show_candidates&constituency_id=452
UTTAR PRADESH,PILIBHIT,index.php?action=show_candidates&constituency_id=455
UTTAR PRADESH,RAMPUR,index.php?action=show_candidates&constituency_id=454
UTTAR PRADESH,SAHARANPUR,index.php?action=show_candidates&constituency_id=448
UTTARAKHAND,ALMORA (SC),index.php?action=show_candidates&constituency_id=445
UTTARAKHAND,GARHWAL,index.php?action=show_candidates&constituency_id=444
UTTARAKHAND,HARIDWAR,index.php?action=show_candidates&constituency_id=447
UTTARAKHAND,NAINITAL-UDHAM SINGH NAGAR,index.php?action=show_candidates&constituency_id=446
UTTARAKHAND,TEHRI GARHWAL,index.php?action=show_candidates&constituency_id=443
WEST BENGAL,ALIPURDUARS (ST),index.php?action=show_candidates&constituency_id=535
WEST BENGAL,COOCH BEHAR (SC),index.php?action=show_candidates&constituency_id=534
WEST BENGAL,JALPAIGURI (SC),index.php?action=show_candidates&constituency_id=536
